,url,listingid,ZIP,Monthly Rent,Bedrooms,Bathrooms,Square Feet,walkScore,transitScore,Deposit,latitude,longitude,Pet,neighborhood
0,https://www.apartments.com/2372-beckwith-dr-indianapolis-in/ze0jqwy/,ze0jqwy,46218,$751,2 bd,1 ba,679 sq ft,25,33,$705 deposit,39.80125,-86.12643,0,Martindale-Brightwood
1,https://www.apartments.com/the-marott-apartments-indianapolis-in/cqv6bmf/,cqv6bmf,46208,"$1,185 - $1,645",1 - 2 bd,1 - 2 ba,"609 - 1,092 sq ft",54,52,,39.80517,-86.15595,,Mapleton Fall Creek
2,https://www.apartments.com/trails-at-lakeside-indianapolis-in/p38me3t/,p38me3t,46220,"$1,193 - $2,805",1 - 3 bd,1 - 2 ba,"594 - 1,246 sq ft",20,12,,39.85553,-86.10057,,Millersville
3,https://www.apartments.com/7491-n-shadeland-ave-indianapolis-in/s34dq64/,s34dq64,46250,"$1,795",3 bd,2 ba,"2,500 sq ft",54,33,,39.89034,-86.0454,,I-69 Fall Creek
4,https://www.apartments.com/nice-3-bedroom-ranch-w-2-car-garage-in-pe-indianapolis-in/n669z9m/,n669z9m,46237,"$1,095",3 bd,1 ba,"1,439 sq ft",29,32,,39.72238,-86.12113,,University Heights
5,https://www.apartments.com/1102-n-oakland-ave-indianapolis-in/c4kr5zf/,c4kr5zf,46201,"$1,300",3 bd,1.5 ba,"1,500 sq ft",67,38,$800 deposit,39.78265,-86.11278,,Near Eastside
6,https://www.apartments.com/634-e-10th-st-indianapolis-in/rl2dfp0/,rl2dfp0,46202,"$1,600",2 bd,2 ba,"1,400 sq ft",74,53,"$1,600 deposit",39.78089,-86.1461,,Chatham Arch
7,https://www.apartments.com/1229-burdsal-re-integrity-indianapolis-in/p2ysc1v/,p2ysc1v,46208,$650,1 bd,1 ba,750 sq ft,34,34,,39.80035,-86.18366,,Near NW Riverside
8,https://www.apartments.com/1620-palmer-st-indianapolis-in/49g2vpj/,49g2vpj,46203,$825,2 bd,1 ba,824 sq ft,57,38,$825 deposit,39.74641,-86.1317,,Near Southeast
9,https://www.apartments.com/slate-indianapolis-in/xmkq7xn/,xmkq7xn,46203,"$1,790",Studio bd,1 ba,596 sq ft,80,61,,39.75955,-86.14796,,Downtown Indianapolis
10,https://www.apartments.com/waterfront-terrace-apartments-indianapolis-in/pr9m19s/,pr9m19s,46224,"$750 - $1,070",1 - 3 bd,1 - 2 ba,"648 - 1,034 sq ft",26,34,,39.81831,-86.2466,,Eagledale
11,https://www.apartments.com/circle-city-apartments-indianapolis-in/xbcddnp/,xbcddnp,46202,"$860 - $2,043",Studio - 2 bd,1 - 2.5 ba,"376 - 1,700 sq ft",62,57,,39.78487,-86.15695,,Near Northside
12,https://www.apartments.com/cloverleaf-apartments-townhomes-indianapolis-in/11b7pf4/,11b7pf4,46241,$549 - $860,1 - 3 bd,1 - 1.5 ba,"586 - 1,240 sq ft",43,33,,39.75402,-86.26146,,Garden City
13,https://www.apartments.com/1226-tecumseh-st-indianapolis-in/hqs00e1/,hqs00e1,46201,"$2,500",3 bd,1.5 ba,"1,300 sq ft",55,40,"$1,500 deposit",39.78448,-86.12626,,Near Eastside
14,https://www.apartments.com/forest-ridge-indianapolis-in/52ygmmm/,52ygmmm,46260,"$931 - $1,420",1 - 4 bd,1 - 2 ba,"790 - 1,487 sq ft",4,28,,39.89281,-86.2015,,Crooked Creek
15,https://www.apartments.com/chateau-de-ville-indianapolis-in/shng817/,shng817,46220,"$855 - $1,567",Studio - 3 bd,1 - 2.5 ba,"520 - 1,650 sq ft",13,0,,39.8526,-86.10157,,Millersville
16,https://www.apartments.com/available-now-indianapolis-in/cbt0d3e/,cbt0d3e,46229,"$1,675",3 bd,1.5 ba,"1,988 sq ft",4,0,,39.78863,-85.96394,,East Warren
17,https://www.apartments.com/greentree-apartments-indianapolis-in/zt52kcx/,zt52kcx,46227,$579 - $739,1 - 3 bd,1 - 2 ba,"571 - 1,140 sq ft",57,28,,39.65224,-86.11846,,South Perry
18,https://www.apartments.com/community-place-indianapolis-in/ds91f3k/,ds91f3k,46227,"$1,075 - $1,575",2 - 4 bd,1 - 2.5 ba,"767 - 1,306 sq ft",38,26,,39.63769,-86.13717,,South Perry
19,https://www.apartments.com/11469-congaree-way-indianapolis-in/0hyy550/,0hyy550,46235,"$1,550",4 bd,3 ba,"1,621 sq ft",9,0,,39.83049,-85.96277,,Far Eastside
20,https://www.apartments.com/avia-lofts-at-founders-road-indianapolis-in/deszx0j/,deszx0j,46268,"$805 - $1,210",Studio - 2 bd,1 - 2 ba,480 - 750 sq ft,59,32,,39.91296,-86.2218,,College Park
21,https://www.apartments.com/6515-knobstone-way-indianapolis-in/wjmp3cj/,wjmp3cj,46203,"$1,495",3 bd,2.5 ba,"1,781 sq ft",3,0,,39.72095,-86.05409,,Indianapolis
22,https://www.apartments.com/3736-n-meridian-st-indianapolis-in/w4zcjll/,w4zcjll,46208,$929,2 bd,1 ba,"1,052 sq ft",74,49,,39.82359,-86.1573,0,Crown Hill
23,https://www.apartments.com/11417-stoeppelwerth-dr-indianapolis-in/qc2q57y/,qc2q57y,46229,"$1,575",4 bd,2 ba,"1,664 sq ft",3,0,,39.79189,-85.96318,,East Warren
24,https://www.apartments.com/north-haven-of-carmel-indianapolis-in/5vpm6np/,5vpm6np,46280,"$1,309 - $3,148",1 - 3 bd,1 - 2 ba,"694 - 1,213 sq ft",21,0,$150 deposit,39.93216,-86.09103,,Indianapolis
25,https://www.apartments.com/sawmill-apartments-indianapolis-in/peg11lr/,peg11lr,46237,$799 - $929,1 - 2 bd,1 ba,650 - 950 sq ft,2,23,,39.70174,-86.10543,,South Emerson
26,https://www.apartments.com/802-charter-woods-drive-indianapolis-in/n9n5w9p/,n9n5w9p,46224,"$1,695",3 bd,2 ba,"1,408 sq ft",27,34,,39.77742,-86.25967,,Garden City
27,https://www.apartments.com/6408-dahlia-dr-indianapolis-in/knn4g39/,knn4g39,46217,"$1,745",3 bd,2 ba,"1,900 sq ft",3,17,"$1,745 deposit",39.67318,-86.16302,,Linden Wood
28,https://www.apartments.com/alpine-studios-indianapolis-in/0mdymh2/,0mdymh2,46221,"$745 - $1,250",Studio - 2 bd,1 - 2 ba,372 - 992 sq ft,24,20,,39.69927,-86.26178,,Valley Mills
29,https://www.apartments.com/9535-benchmark-dr-indianapolis-in/rxw3x11/,rxw3x11,46240,"$1,557",1 bd,1 ba,655 sq ft,32,18,,39.92518,-86.13795,,Nora Far Northside
30,https://www.apartments.com/434-canal-ct-s-dr-indianapolis-in/66zp4xr/,66zp4xr,46202,"$1,809",1 bd,1 ba,992 sq ft,83,55,,39.77746,-86.16637,,The Canal
31,https://www.apartments.com/5810-long-lake-ln-indianapolis-in/2z04gw8/,2z04gw8,46235,"$1,705",3 bd,2 ba,"1,408 sq ft",7,0,,39.86046,-85.96668,,Indianapolis
