url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/2372-beckwith-dr-indianapolis-in/ze0jqwy/,ze0jqwy,46218,751,2,1,679,25,33,705,39.80125,-86.12643,Martindale-Brightwood,Martindale-Brightwood
https://www.apartments.com/7491-n-shadeland-ave-indianapolis-in/s34dq64/,s34dq64,46250,1795,3,2,2500,54,33,1795,39.89034,-86.0454,I-69 Fall Creek,I-69 Fall Creek
https://www.apartments.com/nice-3-bedroom-ranch-w-2-car-garage-in-pe-indianapolis-in/n669z9m/,n669z9m,46237,1095,3,1,1439,29,32,1095,39.72238,-86.12113,University Heights,University Heights
https://www.apartments.com/1102-n-oakland-ave-indianapolis-in/c4kr5zf/,c4kr5zf,46201,1300,3,1.5,1500,67,38,800,39.78265,-86.11278,Near Eastside,Near Eastside
https://www.apartments.com/634-e-10th-st-indianapolis-in/rl2dfp0/,rl2dfp0,46202,1600,2,2,1400,74,53,1600,39.78089,-86.1461,Chatham Arch,Chatham Arch
https://www.apartments.com/1229-burdsal-re-integrity-indianapolis-in/p2ysc1v/,p2ysc1v,46208,650,1,1,750,34,34,650,39.80035,-86.18366,Near NW Riverside,Near NW Riverside
https://www.apartments.com/1620-palmer-st-indianapolis-in/49g2vpj/,49g2vpj,46203,825,2,1,824,57,38,825,39.74641,-86.1317,Near Southeast,Near Southeast
https://www.apartments.com/slate-indianapolis-in/xmkq7xn/,xmkq7xn,46203,1790,0,1,596,80,61,1790,39.75955,-86.14796,Downtown Indianapolis,Downtown Indianapolis
https://www.apartments.com/1226-tecumseh-st-indianapolis-in/hqs00e1/,hqs00e1,46201,2500,3,1.5,1300,55,40,1500,39.78448,-86.12626,Near Eastside,Near Eastside
https://www.apartments.com/available-now-indianapolis-in/cbt0d3e/,cbt0d3e,46229,1675,3,1.5,1988,4,0,1675,39.78863,-85.96394,East Warren,East Warren
https://www.apartments.com/11469-congaree-way-indianapolis-in/0hyy550/,0hyy550,46235,1550,4,3,1621,9,0,1550,39.83049,-85.96277,Far Eastside,Far Eastside
https://www.apartments.com/6515-knobstone-way-indianapolis-in/wjmp3cj/,wjmp3cj,46203,1495,3,2.5,1781,3,0,1495,39.72095,-86.05409,Indianapolis,Indianapolis
https://www.apartments.com/3736-n-meridian-st-indianapolis-in/w4zcjll/,w4zcjll,46208,929,2,1,1052,74,49,929,39.82359,-86.1573,Crown Hill,Crown Hill
https://www.apartments.com/11417-stoeppelwerth-dr-indianapolis-in/qc2q57y/,qc2q57y,46229,1575,4,2,1664,3,0,1575,39.79189,-85.96318,East Warren,East Warren
https://www.apartments.com/802-charter-woods-drive-indianapolis-in/n9n5w9p/,n9n5w9p,46224,1695,3,2,1408,27,34,1695,39.77742,-86.25967,Garden City,Garden City
https://www.apartments.com/6408-dahlia-dr-indianapolis-in/knn4g39/,knn4g39,46217,1745,3,2,1900,3,17,1745,39.67318,-86.16302,Linden Wood,Linden Wood
https://www.apartments.com/9535-benchmark-dr-indianapolis-in/rxw3x11/,rxw3x11,46240,1557,1,1,655,32,18,1557,39.92518,-86.13795,Nora Far Northside,Nora Far Northside
https://www.apartments.com/434-canal-ct-s-dr-indianapolis-in/66zp4xr/,66zp4xr,46202,1809,1,1,992,83,55,1809,39.77746,-86.16637,The Canal,The Canal
https://www.apartments.com/5810-long-lake-ln-indianapolis-in/2z04gw8/,2z04gw8,46235,1705,3,2,1408,7,0,1705,39.86046,-85.96668,Indianapolis,Indianapolis
https://www.apartments.com/1722-arlene-dr-indianapolis-in/y2yqwfv/,y2yqwfv,46219,1580,3,2,1860,40,40,1580,39.79097,-86.03862,East Gate,East Gate
https://www.apartments.com/available-now-indianapolis-in/800k8w1/,800k8w1,46217,1795,3,2.5,2036,6,0,1795,39.66853,-86.20753,Southern Dunes,Southern Dunes
https://www.apartments.com/4420-courtfield-dr-indianapolis-in/bmsrbfb/,bmsrbfb,46254,1670,3,2.5,1641,26,29,1670,39.83515,-86.25505,International Market Place,International Market Place
https://www.apartments.com/1186-constitution-drive-indianapolis-in/0t6hwr1/,0t6hwr1,46234,1795,3,2.5,2104,32,0,1795,39.78088,-86.32847,Indianapolis,Indianapolis
https://www.apartments.com/beautiful-large-four-bedroom-in-warren-tow-indianapolis-in/vjwj37g/,vjwj37g,46203,2500,4,2.5,2474,6,0,2500,39.72511,-86.06206,Indianapolis,Indianapolis
https://www.apartments.com/926-w-32nd-st-indianapolis-in/2jwl87b/,2jwl87b,46208,900,3,2,1050,22,39,900,39.81328,-86.17647,Crown Hill,Crown Hill
https://www.apartments.com/2323-shoemaker-court-indianapolis-in/e9m5elm/,e9m5elm,46229,1495,3,2,1212,1,0,1495,39.80184,-85.96486,East Warren,East Warren
https://www.apartments.com/11402-carly-way-indianapolis-in/57b30kn/,57b30kn,46235,1825,3,2,2140,12,0,1825,39.8214,-85.96436,Far Eastside,Far Eastside
https://www.apartments.com/4065-aspen-way-indianapolis-in/8y3xkd0/,8y3xkd0,46226,1125,3,1,864,42,34,1125,39.83142,-86.01994,Far Eastside,Far Eastside
https://www.apartments.com/1204-n-dearborn-st-indianapolis-in/6vb4p4t/,6vb4p4t,46201,1900,5,2,2800,65,38,1900,39.78364,-86.11144,Near Eastside,Near Eastside
https://www.apartments.com/5319-rocky-mountain-dr-indianapolis-in/312fc3f/,312fc3f,46237,1750,3,2,1390,19,0,1750,39.69042,-86.05699,Galludet,Galludet
https://www.apartments.com/2155-n-irwin-st-indianapolis-in/zbf50xx/,zbf50xx,46219,1000,2,1,1000,37,34,1000,39.79776,-86.05227,Eastside,Eastside
https://www.apartments.com/5012-lincoln-rd-indianapolis-in/nwgqsfm/,nwgqsfm,46228,2010,3,1,2688,1,0,2010,39.84451,-86.21698,Snacks Guion Creek,Snacks Guion Creek
https://www.apartments.com/2268-raymond-park-drive-indianapolis-in/nds5d7m/,nds5d7m,46239,1695,4,2.5,2016,18,0,1695,39.73894,-86.02494,Raymond Park,Raymond Park
https://www.apartments.com/8446-hague-rd-indianapolis-in/2198w0b/,2198w0b,46256,1600,3,2,1020,25,29,1600,39.91026,-86.03342,I-69 Fall Creek,I-69 Fall Creek
https://www.apartments.com/335-w-9th-st-indianapolis-in/wsx9q6l/,wsx9q6l,46202,1695,0,1,543,82,59,1695,39.77914,-86.16437,Circle City,Circle City
https://www.apartments.com/8142-whitaker-valley-boulevard-indianapolis-in/7q5jcfy/,7q5jcfy,46237,1595,3,2,1263,17,21,1595,39.64835,-86.0918,South Perry,South Perry
https://www.apartments.com/8608-skyway-dr-indianapolis-in/qr96hvw/,qr96hvw,46219,1300,3,2,1342,43,29,1300,39.79632,-86.01671,East Warren,East Warren
https://www.apartments.com/3261-n-college-ave-indianapolis-in-unit-3261/9n5lpm6/,9n5lpm6,46205,1200,2,1,975,41,49,1200,39.8156,-86.14462,Mapleton Fall Creek,Mapleton Fall Creek
https://www.apartments.com/9236-delphi-ct-indianapolis-in/6r73k7r/,6r73k7r,46113,1830,3,2.5,2536,34,0,1830,39.63639,-86.32531,Indianapolis,Indianapolis
https://www.apartments.com/4054-n-park-ave-indianapolis-in/peww65t/,peww65t,46205,1210,3,1,1400,54,48,1210,39.82992,-86.14768,Meridian Kessler,Meridian Kessler
https://www.apartments.com/805-timber-creek-dr-indianapolis-in/t0xekm9/,t0xekm9,46239,2085,4,2,2424,7,0,2085,39.75891,-85.97447,Southeast Warren,Southeast Warren
https://www.apartments.com/large-wooded-lot-in-carmel-clay-schools-indianapolis-in/gx92s7y/,gx92s7y,46290,2395,3,2,2181,9,0,2395,39.92949,-86.169,Indianapolis,Indianapolis
https://www.apartments.com/2405-e-16th-st-indianapolis-in/l4h3scf/,l4h3scf,46201,875,2,1,1084,51,31,875,39.7878,-86.12098,Near Eastside,Near Eastside
https://www.apartments.com/3-br-1-bath-house-3626-n-hartman-dr-indianapolis-in/rtvcy33/,rtvcy33,46226,995,3,1,923,35,35,995,39.82136,-86.0392,Arlington Woods,Arlington Woods
https://www.apartments.com/1933-southernwood-ln-indianapolis-in/tzjghyb/,tzjghyb,46231,1998,4,2,3838,4,28,1998,39.73778,-86.32556,Chapel Hill Ben Davis,Chapel Hill Ben Davis
https://www.apartments.com/gorgeous-4-bedroom-ranch-home-indianapolis-in/l28rgte/,l28rgte,46235,1660,4,2,1862,38,35,1660,39.82953,-85.98691,Far Eastside,Far Eastside
