iter	RMSE
0	399.5281878
1	357.2916847
2	331.7030627
3	312.3089615
4	298.7377768
5	290.0367575
6	284.0729935
7	276.4287189
8	272.4559021
9	268.2475973
10	265.7343825
11	262.8841459
12	259.5634979
13	257.0729716
14	254.9157929
15	253.4298212
16	252.1224967
17	250.1923268
18	248.7682966
19	247.6677927
20	246.4499157
21	245.3569409
22	245.1225244
23	244.1175157
24	243.2363687
25	241.092418
26	239.4926245
27	237.0848377
28	233.5467494
29	232.5690362
30	232.3242719
31	230.2455097
32	226.6391944
33	225.1406574
34	221.9110493
35	221.1439055
36	220.7455088
37	218.8456115
38	216.9234694
39	215.7669983
40	215.1803127
41	214.7609196
42	214.5032562
43	214.3436402
44	213.54322
45	212.1961585
46	209.8913058
47	208.2964274
48	207.956627
49	207.6697596
50	206.1812363
51	204.4668809
52	204.2207732
53	203.1614487
54	200.8546036
55	199.9126023
56	198.8736296
57	197.9108238
58	197.6492445
59	195.7815188
60	194.6400813
61	193.2753161
62	192.7861429
63	192.1765717
64	191.8887617
65	191.3288411
66	190.5061449
67	190.3220904
68	190.2009129
69	190.0993579
70	189.8307108
71	188.9615232
72	188.3238642
73	187.0630858
74	185.1468754
75	183.8294953
76	183.7024429
77	181.9537227
78	180.7241392
79	178.7539918
80	178.4979542
81	177.9169247
82	175.9220242
83	174.8859361
84	174.3509021
85	173.1298517
86	172.2309618
87	171.5972988
88	170.0359935
89	169.9340185
90	169.3794753
91	168.6566616
92	168.5748512
93	167.9755469
94	167.6166137
95	167.4351282
96	166.3980596
97	165.7815595
98	165.6387374
99	165.5500138
