iter	Passed	Remaining
0	16	1609
1	27	1349
2	35	1157
3	44	1074
4	54	1033
5	64	1015
6	75	999
7	84	976
8	95	962
9	106	957
10	117	954
11	128	945
12	139	931
13	149	919
14	160	907
15	170	893
16	180	879
17	191	870
18	200	856
19	211	847
20	219	827
21	231	820
22	242	811
23	252	799
24	263	790
25	274	781
26	284	769
27	295	760
28	306	750
29	317	739
30	327	729
31	338	719
32	348	707
33	360	698
34	370	688
35	380	676
36	392	669
37	403	658
38	414	647
39	425	638
40	437	628
41	447	617
42	458	607
43	469	597
44	479	586
45	491	576
46	501	565
47	512	554
48	523	544
49	535	535
50	546	524
51	557	514
52	568	504
53	578	492
54	589	482
55	600	471
56	611	461
57	622	451
58	633	440
59	656	437
60	666	426
61	676	414
62	686	403
63	697	392
64	707	380
65	719	370
66	728	359
67	738	347
68	748	336
69	758	324
70	770	314
71	780	303
72	790	292
73	800	281
74	812	270
75	822	259
76	833	248
77	843	238
78	854	227
79	864	216
80	874	205
81	884	194
82	895	183
83	906	172
84	917	161
85	929	151
86	939	140
87	951	129
88	963	119
89	976	108
90	992	98
91	1002	87
92	1015	76
93	1029	65
94	1040	54
95	1051	43
96	1062	32
97	1072	21
98	1081	10
99	1092	0
